TRADE_ID,EVENT_SUB_TYPE_ID,TRADE_DATE_TIME,CREATED_AT,INSTRUMENT_IDENTIFIER,BOOK,PRICE,QUANTITY,BUY_OR_SELL,ORIGINAL_TRADE_ID
T1001,NEW,2026-01-05 09:00:00,2026-01-05 09:00:10,XS0000000001,BK1,100.00,10,B,
T1001,AMD,2026-01-05 11:00:00,2026-01-05 11:00:10,XS0000000001,BK1,101.00,10,B,
T1002,NEW,2026-01-05 09:30:00,2026-01-05 09:30:10,XS0000000001,BK1,100.00,20,B,
T1002,AMD,2026-01-05 11:30:00,2026-01-05 11:30:10,XS0000000001,BK1,100.50,20,B,
T1003,NEW,2026-01-05 10:00:00,2026-01-05 10:00:10,XS0000000002,BK1,55.00,5,S,
T1003,AMD,2026-01-05 12:00:00,2026-01-05 12:00:10,XS0000000002,BK1,55.00,5,S,
T1004,NEW,2026-01-06 09:00:00,2026-01-06 09:00:10,XS0000000003,BK2,99.10,500,S,
T1004,CXL,2026-01-06 12:00:00,2026-01-06 12:00:10,XS0000000003,BK2,,,S,
T1005,NEW,2026-01-06 13:00:00,2026-01-06 13:00:10,XS0000000003,BK2,99.10,500,S,T1004
T1006,NEW,2026-01-07 08:00:00,2026-01-07 08:00:10,XS0000000004,BK2,12.00,1000,B,
T1007,NEW,2026-01-07 08:30:00,2026-01-07 08:30:10,XS0000000001,BK1,100.00,15,B,
T1007,AMD,2026-01-07 09:30:00,2026-01-07 09:30:10,XS0000000001,BK1,100.80,15,B,
